Address,City,State,Zipcode,AUTO_UNIQUE_ID_2023-10-11_caitlindatakindorg_ListofProvider,TransactionId,TimeTaken,Source,Version,UpdatedGeocoding,ErrorMessage,Latitude,Longitude,MatchType,FeatureMatchingGeographyType,MicroMatchStatus,MatchScore,GeocodeQualityType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,PenaltyCode,PenaltyCodeSummary,InterpolationType,InterpolationSubType,MatchedLocationType,FeatureMatchingResultType,FeatureMatchingResultCount,FeatureMatchingResultTypeNotes,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,OutputGeocodes,NaaccrCertCode2020,NaaccrCertType2020,GeoLocationID2020,CensusBlock2020,CensusBlockGroup2020,CensusTract2020,CensusCountyFips2020,CensusCbsaFips2020,CensusCbsaMicro2020,CensusMcdFips2020,CensusMetDivFips2020,CensusMsaFips2020,CensusPlaceFips2020,CensusStateFips2020,FNumber,FNumberFractional,FPreDirectional,FPreQualifier,FPreType,FPreArticle,FName,FPostArticle,FSuffix,FPostQualifier,FPostDirectional,FSuiteType,FSuiteNumber,FPostOfficeBoxType,FPostOfficeBoxNumber,FCity,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FArea,FAreaType,FGeometrySRID,FGeometry,FSource,FVintage,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,MNumber,MNumberFractional,MPreDirectional,MPreQualifier,MPreType,MPreArticle,MName,MPostArticle,MSuffix,MPostQualifier,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,PNumber,PNumberFractional,PPreDirectional,PPreQualifier,PPreType,PPreArticle,PName,PPostArticle,PSuffix,PPostQualifier,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5
1022 S ORANGE BLOSSOM TRL,,,32703,11,28dcd581-61c0-4fad-81e6-5039bd9cf225,0.1562164,TAMUGeocoder,5.0.0,1,,28.662448,-81.501094,,USPSZip,Non-Match,60,,147517929.52,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950176001,1032,1,0176.00,095,36740,0,90052,,5960,67163,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32703,,,,,,147517929.52,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32703,,,1022,,S,,,,ORANGE BLOSSOM,,TRL,,,,,,,,,,,,FL,32703,,,,,,1022,,S,,,,ORANGE BLOSSOM,,TRL,,,,,,,,,,,,FL,32703,,,,,
1937 LAKEVILLE RD,,,32703,12,35cc6c37-392e-4491-a0b0-64899a030cc1,0.1249965,TAMUGeocoder,5.0.0,1,,28.662448,-81.501094,,USPSZip,Non-Match,60,,147517929.52,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950176001,1032,1,0176.00,095,36740,0,90052,,5960,67163,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32703,,,,,,147517929.52,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32703,,,1937,,,,,,LAKEVILLE,,RD,,,,,,,,,,,,FL,32703,,,,,,1937,,,,,,LAKEVILLE,,RD,,,,,,,,,,,,FL,32703,,,,,
301 W WELCH RD,,,32712,13,a91e94fe-c61e-43bf-af05-f4d3b71c2141,0.1406234,TAMUGeocoder,5.0.0,1,,28.706106492875,-81.5165400283536,,StreetSegment,Match,100,,2371.15,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950178091,1034,1,0178.09,095,36740,0,90052,,5960,,12,333-301,,W,,,,Welch,,Rd,,,,,,,Apopka,,,Apopka,Orange,FL,32712,,,,,,2371.15,Meters,0,,Census2016TigerLines,2016,tlid,600594928,,,301,,W,,,,WELCH,,RD,,,,,,,,,,,,FL,32712,,,,,,301,,W,,,,WELCH,,RD,,,,,,,,,,,,FL,32712,,,,,
1425 W ORANGE BLOSSOM TRL,,,32712,14,22f10e90-2041-4edd-a637-4db11852825d,0.1093776,TAMUGeocoder,5.0.0,1,,28.736116,-81.538717,,USPSZip,Non-Match,60,,159505099.69,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950178142,2003,2,0178.14,095,36740,0,90052,,5960,01700,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32712,,,,,,159505099.69,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32712,,,1425,,W,,,,ORANGE BLOSSOM,,TRL,,,,,,,,,,,,FL,32712,,,,,,1425,,W,,,,ORANGE BLOSSOM,,TRL,,,,,,,,,,,,FL,32712,,,,,
11118 Daimler Dr.,,,32712,15,d9ab26dc-2904-4ad0-ba6e-a8ea3a65c0b8,0.1718908,TAMUGeocoder,5.0.0,1,,28.736116,-81.538717,,USPSZip,Non-Match,60,,159505099.69,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950178142,2003,2,0178.14,095,36740,0,90052,,5960,01700,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32712,,,,,,159505099.69,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32712,,,11118,,,,,,DAIMLER,,DR,,,,,,,,,,,,FL,32712,,,,,,11118,,,,,,DAIMLER,,DR,,,,,,,,,,,,FL,32712,,,,,
2226 ROCK SPRINGS RD,,,32712,16,9049ca9a-8dbb-499f-b2d0-8bd8220f85cc,0.0781071,TAMUGeocoder,5.0.0,1,,28.7166021611857,-81.5091038318635,,StreetSegment,Match,100,,4033.43,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950178091,1010,1,0178.09,095,36740,0,90052,,5960,,12,2144-2286,,,,,,Rock Springs,,Rd,,,,,,,Apopka,,,Apopka,Orange,FL,32712,,,,,,4033.43,Meters,0,,Census2010TigerLines,2010,tlid,617827889,,,2226,,,,,,ROCK SPRINGS,,RD,,,,,,,,,,,,FL,32712,,,,,,2226,,,,,,ROCK SPRINGS,,RD,,,,,,,,,,,,FL,32712,,,,,
1550 N. Wekiwa Springs Road,,,32712,17,27ca8743-c308-49d5-bc9e-daac545a5f41,0.0937468,TAMUGeocoder,5.0.0,1,,28.7070751489003,-81.4678149329807,,StreetSegment,Match,100,,4642.17,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950178051,1037,1,0178.05,095,36740,0,90052,,5960,,12,1500-1898,,N,,,,Wekiwa Springs,,Rd,,,,,,,Apopka,,,Apopka,Orange,FL,32712,,,,,,4642.17,Meters,0,,Census2016TigerLines,2016,tlid,94322313,,,1550,,N,,,,WEKIWA SPRINGS,,RD,,,,,,,,,,,,FL,32712,,,,,,1550,,N,,,,WEKIWA SPRINGS,,RD,,,,,,,,,,,,FL,32712,,,,,
851 N   Ave,,,32751,18,60e4a99c-0e0a-4e20-8de1-9e9eee40e8b4,0.2343769,TAMUGeocoder,5.0.0,1,,28.625621,-81.355905,,USPSZip,Non-Match,60,,21464654.62,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950157011,1020,1,0157.01,095,36740,0,92522,,5960,42575,12,,,,,,,,,,,,,,,,Maitland,,,,Orange,FL,32751,,,,,,21464654.62,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32751,,,851,,,,,,N,,AVE,,,,,,,,,,,,FL,32751,,,,,,851,,,,,,N,,AVE,,,,,,,,,,,,FL,32751,,,,,
1101 N WYMORE RD,,,32751,19,13147038-e695-43c2-9b83-66cbd623c805,0.1562335,TAMUGeocoder,5.0.0,1,,28.6400776493581,-81.3862747283282,,StreetSegment,Review,97.9289940828402,,5543.29,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950155011,1015,1,0155.01,095,36740,0,92522,,5960,42575,12,1-1199,,,,,,Wymore,,Rd,,,,,,,Maitland,,,Orlando,Orange,FL,32751,,,,,,5543.29,Meters,0,,Census2016TigerLines,2016,tlid,94367584,,,1101,,N,,,,WYMORE,,RD,,,,,,,,,,,,FL,32751,,,,,,1101,,N,,,,WYMORE,,RD,,,,,,,,,,,,FL,32751,,,,,
236 N SWOOPE AVE,,,32751,20,14f52388-e0e1-45e2-8eb8-b82ee400d30c,0.1406315,TAMUGeocoder,5.0.0,1,,28.6286641891195,-81.3618381013261,,StreetSegment,Match,100,,4097.87,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950156012,2011,2,0156.01,095,36740,0,92522,,5960,42575,12,100-298,,N,,,,Swoope,,Ave,,,,,,,Maitland,,,Orlando,Orange,FL,32751,,,,,,4097.87,Meters,0,,Census2016TigerLines,2016,tlid,94275452,,,236,,N,,,,SWOOPE,,AVE,,,,,,,,,,,,FL,32751,,,,,,236,,N,,,,SWOOPE,,AVE,,,,,,,,,,,,FL,32751,,,,,
341 N ORLANDO AVE,,,32751,21,f7d12ad7-1569-44c1-ae4b-0654c71587fe,0.2030837,TAMUGeocoder,5.0.0,1,,28.6296204372381,-81.3636867928667,,StreetSegment,Match,100,,6577.83,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950155012,2000,2,0155.01,095,36740,0,92522,,5960,42575,12,301-499,,N,,,,Orlando,,Ave,,,,,,,Maitland,,,Orlando,Orange,FL,32751,,,,,,6577.83,Meters,0,,Census2016TigerLines,2016,tlid,94275382,,,341,,N,,,,ORLANDO,,AVE,,,,,,,,,,,,FL,32751,,,,,,341,,N,,,,ORLANDO,,AVE,,,,,,,,,,,,FL,32751,,,,,
1300 W Maitland Blvd,,,32751,22,4c6f5943-c24b-486c-8f56-ebd259003002,0.1093765,TAMUGeocoder,5.0.0,1,,28.6308771442159,-81.3803754757017,,StreetSegment,Match,100,,13319.29,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950155011,1018,1,0155.01,095,36740,0,92522,,5960,42575,12,1598-1072,,W,,,,Maitland,,Blvd,,,,,,,Maitland,,,Orlando,Orange,FL,32751,,,,,,13319.29,Meters,0,,Census2016TigerLines,2016,tlid,639769492,,,1300,,W,,,,MAITLAND,,BLVD,,,,,,,,,,,,FL,32751,,,,,,1300,,W,,,,MAITLAND,,BLVD,,,,,,,,,,,,FL,32751,,,,,
6803 Old Highway 441 S,,,32757,23,31866a2a-2cb9-4a03-8f82-84826112f7ac,0.078115,TAMUGeocoder,5.0.0,1,,28.77412,-81.628286,,USPSZip,Non-Match,60,,111032751.98,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950179012,2002,2,0179.01,095,36740,0,90052,,5960,71100,12,,,,,,,,,,,,,,,,Mount Dora,,,,Lake,FL,32757,,,,,,111032751.98,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32757,,,6803,,,,,,OLD,,HWY,,S,UNIT,441,,,,,,,,FL,32757,,,,,,6803,,,,,,OLD,,HWY,,S,UNIT,441,,,,,,,,FL,32757,,,,,
7228 EARLWOOD AVE,,,32757,24,a1299397-5a62-429b-b75f-07babe053732,0.0468475,TAMUGeocoder,5.0.0,1,,28.7630958940434,-81.6298589814281,,StreetSegment,Match,100,,2314.34,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950179012,2032,2,0179.01,095,36740,0,90052,,5960,71100,12,7200-7298,,,,,,Earlwood,,Ave,,,,,,,Tangerine,,,Apopka,Orange,FL,32757,,,,,,2314.34,Meters,0,,Census2016TigerLines,2016,tlid,94260000,,,7228,,,,,,EARLWOOD,,AVE,,,,,,,,,,,,FL,32757,,,,,,7228,,,,,,EARLWOOD,,AVE,,,,,,,,,,,,FL,32757,,,,,
338 E LYMAN AVE,,,32789,25,8c0263eb-35bd-4a46-ad9e-305f619556dc,0.2656148,TAMUGeocoder,5.0.0,1,,28.594978743334,-81.3475799529851,,StreetSegment,Match,100,,4337.07,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950160011,1035,1,0160.01,095,36740,0,92522,,5960,78300,12,232-444,,E,,,,Lyman,,Ave,,,,,,,Winter Park,,,Orlando,Orange,FL,32789,,,,,,4337.07,Meters,0,,Census2016TigerLines,2016,tlid,638089061,,,338,,E,,,,LYMAN,,AVE,,,,,,,,,,,,FL,32789,,,,,,338,,E,,,,LYMAN,,AVE,,,,,,,,,,,,FL,32789,,,,,
225 S Interlachen Ave,,,32789,26,10104b23-bdfc-439e-ad0f-2f642c6d38ff,0.1250907,TAMUGeocoder,5.0.0,1,,28.5966090335716,-81.3486777592948,,StreetSegment,Match,100,,2248.4,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950160011,1021,1,0160.01,095,36740,0,92522,,5960,78300,12,201-299,,S,,,,Interlachen,,Ave,,,,,,,Winter Park,,,Orlando,Orange,FL,32789,,,,,,2248.4,Meters,0,,Census2016TigerLines,2016,tlid,94278596,,,225,,S,,,,INTERLACHEN,,AVE,,,,,,,,,,,,FL,32789,,,,,,225,,S,,,,INTERLACHEN,,AVE,,,,,,,,,,,,FL,32789,,,,,
1199 Clay Street,,,32789,27,a3dcd532-d25a-4069-9cb6-c73a5982b119,0.1093298,TAMUGeocoder,5.0.0,1,,28.5876768188987,-81.3732541844597,,StreetSegment,Match,100,,2320.38,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950190001,1059,1,0190.00,095,36740,0,92522,,5960,53000,12,1101-1199,,,,,,Clay,,St,,,,,,,Orlando,,,Orlando,Orange,FL,32789,,,,,,2320.38,Meters,0,,Census2016TigerLines,2016,tlid,94277225,,,1199,,,,,,CLAY,,ST,,,,,,,,,,,,FL,32789,,,,,,1199,,,,,,CLAY,,ST,,,,,,,,,,,,FL,32789,,,,,
